Call_Type,Call_Duration,IMEI,TAC,DESTINATION_CAT,MU_Device_type_Segment,MU_HANDSET_MOBILE_TECH,is_fraud
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
7,2.0,14769,179,ON-NET,Modem,3G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
7,2.0,11599,73,OTA-SHORT,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
7,2.0,302,5494,ON-NET,Basic & Feature Phone,2G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
1,104.03316,2864,5598,OFF-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
7,2.0,150,5485,INTERNATIONAL,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
7,2.0,14769,179,ON-NET,Modem,3G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,9239,5791,OFF-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
7,2.0,8354,5771,OTA-SHORT,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
1,17.023608,13238,129,OFF-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
7,2.0,14769,179,ON-NET,Modem,3G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
7,2.0,16370,234,OTA-SHORT,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,206,5489,ON-NET,Smartphone,3G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
1,8.511804,9235,5790,ON-NET,Basic & Feature Phone,2G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
0,19.860876,16723,246,OFF-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
7,2.0,2543,5588,INTERNATIONAL,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
7,2.0,14769,179,ON-NET,Modem,3G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
0,0.945756,6572,5714,OFF-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,2543,5588,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,2543,5588,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,9831,16,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,2543,5588,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,9831,16,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,2543,5588,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,15716,212,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,15716,212,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,2543,5588,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,2543,5588,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
0,17.969364,4827,5659,OFF-NET,Other,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
0,34.047216,13907,148,OFF-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,9831,16,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,2543,5588,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,2543,5588,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,9831,16,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
0,88.901064,831,5524,OFF-NET,Smartphone,4G,1
6,2.0,9831,16,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,15716,212,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
7,2.0,2390,5585,OTA-SHORT,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,2543,5588,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
7,2.0,14097,158,OTA-SHORT,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,2390,5585,ON-NET,Smartphone,4G,1
6,2.0,9831,16,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,2543,5588,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,15716,212,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
7,2.0,15696,210,OTA-SHORT,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
7,2.0,14769,179,ON-NET,Modem,3G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
7,2.0,14769,179,ON-NET,Modem,3G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,9831,16,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,9921,20,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,2543,5588,ON-NET,Smartphone,4G,1
6,2.0,2390,5585,ON-NET,Smartphone,4G,1
7,2.0,9921,20,ON-NET,Smartphone,4G,1
7,2.0,14769,179,ON-NET,Modem,3G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,10263,33,ON-NET,Smartphone,4G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
1,86.063796,11515,69,OFF-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,13417,139,ON-NET,Smartphone,4G,1
6,2.0,2390,5585,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
0,244.005048,7934,5756,OFF-NET,Basic & Feature Phone,2G,1
6,2.0,1796,5563,ON-NET,Smartphone,4G,1
6,2.0,9831,16,ON-NET,Smartphone,4G,1
1,21.752388,9239,5791,OFF-NET,Smartphone,4G,1
0,37.83024,522,5506,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,2390,5585,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,15716,212,ON-NET,Smartphone,4G,1
6,2.0,9831,16,ON-NET,Smartphone,4G,1
6,2.0,2543,5588,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,15696,210,ON-NET,Smartphone,4G,1
6,2.0,150,5485,ON-NET,Smartphone,4G,1
6,2.0,1033,5531,ON-NET,Smartphone,4G,1
6,2.0,13327,134,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
6,2.0,2390,5585,ON-NET,Smartphone,4G,1
6,2.0,15097,189,ON-NET,Smartphone,4G,1
6,2.0,2543,5588,ON-NET,Smartphone,4G,1
6,2.0,14097,158,ON-NET,Smartphone,4G,1
6,2.0,15716,212,ON-NET,Smartphone,4G,1
6,2.0,9831,16,ON-NET,Smartphone,4G,1
6,2.0,8354,5771,ON-NET,Smartphone,4G,1
6,2.0,2390,5585,ON-NET,Smartphone,4G,1
6,2.0,15658,208,ON-NET,Smartphone,4G,1
